

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

15853.751  000.382  000.382: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/netrw.vim
15854.819  000.442  000.442: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/term.vim
15856.571  000.826  000.826: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/branch.vim
15857.445  000.426  000.426: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/fugitiveline.vim
15858.375  000.492  000.492: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/ale.vim
15861.147  001.103  001.103: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/whitespace.vim
15863.214  000.605  000.605: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline.vim
15864.366  000.384  000.384: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/autoshow.vim
15865.530  000.577  000.577: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/tabs.vim
15868.124  000.813  000.813: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/buffers.vim
15869.531  000.402  000.402: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/keymap.vim
15878.408  000.515  000.515: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/section.vim
15880.217  001.025  001.025: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/highlighter.vim
15886.423  000.418  000.418: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/themes.vim
15887.203  001.826  001.408: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/themes/molokai.vim
15891.722  000.499  000.499: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/themes/molokai.vim
15926.565  000.741  000.741: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/builder.vim
15927.801  000.516  000.516: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/default.vim
15963.633  000.774  000.774: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/SyntaxRange.vim
15975.535  011.273  011.273: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/vim.vim
15985.089  007.890  007.890: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/fugitive.vim
15988.153  000.728  000.728: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale.vim
15989.533  001.002  001.002: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/util.vim
15990.855  000.897  000.897: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/linter.vim
15992.294  000.378  000.378: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/unite/sources/buffer/variables.vim
15993.135  124.552: opening buffers
15993.323  000.188: BufEnter autocommands
15993.328  000.005: editing files in windows
15994.593  000.705  000.705: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/deoplete.nvim/autoload/deoplete/init.vim
15995.973  000.664  000.664: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/deoplete.nvim/autoload/deoplete/util.vim
15996.803  000.456  000.456: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/deoplete.nvim/autoload/deoplete/custom.vim
15998.937  000.886  000.886: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/autoload/provider/pythonx.vim
16127.549  128.231  128.231: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/autoload/provider/python3.vim
16129.647  001.146  001.146: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/autoload/provider.vim
16435.055  000.811  000.811: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/deoplete.nvim/autoload/deoplete/mapping.vim
16436.361  000.775  000.775: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/deoplete.nvim/autoload/deoplete/handler.vim
16437.274  310.272: VimEnter autocommands
16633.394  195.907  195.907: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/autoload/provider/clipboard.vim
16633.449  000.268: before starting main loop
16637.134  000.810  000.810: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/ctrlspace.vim
16638.526  000.705  000.705: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/builder.vim
16639.534  000.502  000.502: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/buflist.vim
16645.384  000.367  000.367: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/formatters/webdevicons.vim
16646.227  000.394  000.394: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/formatters/default.vim
16665.798  000.648  000.648: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/async.vim
16673.943  001.762  001.762: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/engine.vim
16674.890  000.394  000.394: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/statusline.vim
16679.506  040.476: first screen update
16679.512  000.006: --- NVIM STARTED ---
