

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

3426.340  000.468  000.468: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/ale.vim
3427.990  001.008  001.008: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/whitespace.vim
3429.363  000.678  000.678: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline.vim
3430.168  000.453  000.453: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/autoshow.vim
3431.030  000.451  000.451: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/tabs.vim
3432.018  000.623  000.623: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/buffers.vim
3432.828  000.335  000.335: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/keymap.vim
3438.798  000.370  000.370: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/section.vim
3440.125  000.802  000.802: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/highlighter.vim
3444.845  000.396  000.396: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/themes.vim
3445.308  002.431  002.035: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/themes/solarized.vim
3454.741  001.375  001.375: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/themes/solarized.vim
3484.686  000.701  000.701: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/builder.vim
3486.039  000.523  000.523: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/default.vim
3514.429  000.498  000.498: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/parenmatch.vim
3518.216  002.217  002.217: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/ftplugin/ruby.vim
3518.908  000.034  000.034: sourcing /Users/fill/.cache/dein/repos/github.com/osyo-manga/vim-monster/after/ftplugin/ruby/monster.vim
3519.720  000.084  000.084: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/after/ftplugin/ruby/caw.vim
3520.207  000.086  000.086: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/indent/ruby.vim
3525.269  004.456  004.456: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/ruby.vim
3531.338  004.710  004.710: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/ftplugin/ruby.vim
3532.612  000.063  000.063: sourcing /Users/fill/.cache/dein/repos/github.com/osyo-manga/vim-monster/after/ftplugin/ruby/monster.vim
3534.091  000.130  000.130: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/after/ftplugin/ruby/caw.vim
3534.819  000.122  000.122: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/indent/ruby.vim
3541.515  005.810  005.810: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/ruby.vim
3550.885  006.983  006.983: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/fugitive.vim
3555.614  000.718  000.718: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale.vim
3557.248  001.188  001.188: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/util.vim
3559.069  001.398  001.398: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/linter.vim
3562.150  001.732  001.732: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/ale_linters/ruby/brakeman.vim
3563.622  001.307  001.307: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/ale_linters/ruby/rails_best_practices.vim
3565.372  001.644  001.644: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/ale_linters/ruby/reek.vim
3566.370  000.874  000.874: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/ale_linters/ruby/rubocop.vim
3567.047  000.583  000.583: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/ale_linters/ruby/ruby.vim
3567.952  000.812  000.812: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/ale_linters/ruby/solargraph.vim
3570.141  001.386  001.386: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/engine.vim
3571.635  000.662  000.662: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/history.vim
3573.660  000.782  000.782: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/handlers/ruby.vim
3574.625  000.438  000.438: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/command.vim
3576.666  001.106  001.106: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/job.vim
3587.631  001.087  001.087: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/lsp_linter.vim
3589.937  001.564  001.564: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/ruby.vim
3591.461  000.884  000.884: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/path.vim
3595.900  001.991  001.991: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/lsp.vim
3603.711  001.212  001.212: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/lsp/message.vim
3604.928  000.385  000.385: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/uri.vim
3609.819  002.245  002.245: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/neomru.vim
3630.578  001.071  001.071: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/unite/sources/buffer/variables.vim
3632.495  169.551: opening buffers
3633.910  001.415: BufEnter autocommands
3633.926  000.016: editing files in windows
3636.677  002.751: VimEnter autocommands
4183.893  546.784  546.784: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/autoload/provider/clipboard.vim
4183.955  000.494: before starting main loop
4185.367  000.858  000.858: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/cursor.vim
4187.119  000.539  000.539: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/ctrlspace.vim
4189.113  000.869  000.869: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/builder.vim
4190.402  000.453  000.453: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/buflist.vim
4197.084  000.560  000.560: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/formatters/webdevicons.vim
4198.060  000.345  000.345: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/tabline/formatters/default.vim
4223.804  000.644  000.644: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/async.vim
4233.058  044.836: first screen update
4233.077  000.018: --- NVIM STARTED ---
